species_id,species_name
ABA,Abies balsamea
ALN,Alnus sp.
AMEL,Amelanchier sp.
ARU,Acer rubrum
ASP,Acer spicatum
BPA,Betula papyrifera
CORNU,Cornus sp.
CORYL,Corylus cornuta
FNI,Fraxinus nigra
LLA,Larix laricina
LONI,Lonicera sp.
NEMOP,Nemopanthus mucronatus
PBA,Pinus banksiana
PGL,Picea glauca
PMA,Picea mariana
POBA,Populus balsamifera
PPE,Prunus pensylvanica
PRE,Pinus resinosa
PST,Pinus strobus
PTR,Populus tremuloides
PVI,Prunus virginiana
SALIX,Salix sp.
SAMB,Sambucus pubens
SORBU,Sorbus sp.
TCA,Taxus canadensis
TOC,Thuja occidentalis
VIB,Viburnum sp.
